Date,Open,High,Low,Close,Volume
2012-04-27,8420.0,8420.0,8340.0,8420.0,171160
2012-05-02,8590.0,8760.0,8420.0,8510.0,217450
2012-05-03,8510.0,8590.0,8420.0,8510.0,136060
2012-05-04,8510.0,8670.0,8420.0,8670.0,105640
2012-05-07,8670.0,8760.0,8420.0,8670.0,133040
2012-05-08,8670.0,8670.0,8510.0,8670.0,137150
2012-05-09,8670.0,8670.0,8510.0,8590.0,122410
2012-05-10,8670.0,8670.0,8510.0,8590.0,90920
2012-05-11,8590.0,8670.0,8510.0,8510.0,93430
2012-05-14,8420.0,8590.0,8420.0,8510.0,79080
2012-05-15,8420.0,8590.0,8260.0,8340.0,114310
2012-05-16,8340.0,8510.0,8220.0,8300.0,143950
2012-05-17,8170.0,8300.0,8090.0,8300.0,207350
2012-05-18,8300.0,8300.0,8010.0,8260.0,169600
2012-05-21,8340.0,8420.0,8340.0,8420.0,108700
2012-05-22,8510.0,8590.0,8420.0,8590.0,87130
2012-05-23,8340.0,8670.0,8340.0,8510.0,101180
2012-05-24,8340.0,8590.0,8340.0,8420.0,71170
2012-05-25,8510.0,8510.0,8340.0,8510.0,169090
2012-05-28,8590.0,8670.0,8420.0,8590.0,86790
2012-05-29,8590.0,8670.0,8510.0,8670.0,82090
2012-05-30,8670.0,8760.0,8590.0,8760.0,226650
2012-05-31,8590.0,8760.0,8590.0,8590.0,61250
2012-06-01,8670.0,8670.0,8590.0,8590.0,73670
2012-06-04,8930.0,8930.0,8510.0,8610.0,85690
2012-06-05,8400.0,8720.0,8290.0,8610.0,161020
2012-06-06,8610.0,8830.0,8560.0,8830.0,186260
2012-06-07,9090.0,9090.0,8880.0,8930.0,103390
2012-06-08,9150.0,9150.0,8930.0,8930.0,115130
2012-06-11,8930.0,8930.0,8610.0,8930.0,144500
2012-06-12,8880.0,8930.0,8670.0,8880.0,116260
2012-06-13,8990.0,8990.0,8720.0,8880.0,124350
2012-06-14,8880.0,8880.0,8560.0,8830.0,184830
2012-06-15,8720.0,8830.0,8610.0,8770.0,348600
2012-06-18,8830.0,8830.0,8770.0,8770.0,116570
2012-06-19,8720.0,8770.0,8670.0,8720.0,86230
2012-06-20,8770.0,8770.0,8610.0,8720.0,117450
2012-06-21,8720.0,8770.0,8670.0,8770.0,100900
2012-06-22,8720.0,8720.0,8610.0,8610.0,108520
2012-06-25,8610.0,9040.0,8610.0,9040.0,276560
2012-06-26,9040.0,9040.0,8720.0,9040.0,472290
2012-06-27,9040.0,9090.0,8930.0,9040.0,427270
2012-06-28,8990.0,8990.0,8770.0,8990.0,175400
2012-06-29,8830.0,8990.0,8830.0,8930.0,243790
2012-07-02,8770.0,8930.0,8670.0,8720.0,169750
2012-07-03,8670.0,8720.0,8560.0,8610.0,83890
2012-07-04,8610.0,8670.0,8560.0,8610.0,75960
2012-07-05,8510.0,8720.0,8510.0,8610.0,76350
2012-07-06,8560.0,8720.0,8510.0,8560.0,91920
2012-07-09,8510.0,8610.0,8290.0,8400.0,161250
2012-07-10,8400.0,8400.0,8189.999999999999,8350.0,120480
2012-07-11,8350.0,8350.0,8130.000000000001,8240.0,200620
2012-07-12,7980.0,8400.0,7980.0,8240.0,85610
2012-07-13,8290.0,8510.0,8290.0,8510.0,181940
2012-07-16,8510.0,8510.0,8189.999999999999,8400.0,102830
2012-07-17,8130.000000000001,8400.0,8130.000000000001,8400.0,273730
2012-07-18,8400.0,8400.0,8290.0,8350.0,109590
2012-07-19,8189.999999999999,8400.0,8189.999999999999,8400.0,185100
2012-07-20,8400.0,8400.0,8350.0,8350.0,225810
2012-07-23,8400.0,8400.0,8189.999999999999,8290.0,109340
2012-07-24,8290.0,8290.0,8029.999999999999,8189.999999999999,240320
2012-07-25,8189.999999999999,8240.0,8029.999999999999,8189.999999999999,100730
2012-07-26,8080.0,8240.0,8080.0,8189.999999999999,111310
2012-07-27,8189.999999999999,8240.0,8080.0,8240.0,246010
2012-07-30,8080.0,8240.0,8080.0,8240.0,199800
2012-07-31,8130.000000000001,8240.0,8130.000000000001,8189.999999999999,159950
2012-08-01,8130.000000000001,8189.999999999999,8029.999999999999,8130.000000000001,172190
2012-08-02,8189.999999999999,8510.0,8189.999999999999,8350.0,254950
2012-08-03,8350.0,8350.0,8240.0,8350.0,123450
2012-08-06,8130.000000000001,8350.0,8130.000000000001,8350.0,147010
2012-08-07,8400.0,8450.0,8290.0,8400.0,165390
2012-08-08,8510.0,8510.0,8400.0,8450.0,107540
2012-08-09,8450.0,8510.0,8400.0,8450.0,100400
2012-08-10,8510.0,8510.0,8400.0,8450.0,65470
2012-08-13,8350.0,8510.0,8350.0,8510.0,53020
2012-08-14,8510.0,8560.0,8510.0,8560.0,93610
2012-08-15,8610.0,8610.0,8510.0,8510.0,79010
2012-08-16,8510.0,8510.0,8400.0,8450.0,115560
2012-08-17,8510.0,8510.0,8350.0,8350.0,85650
2012-08-20,8450.0,8450.0,8290.0,8400.0,230260
2012-08-21,8290.0,8400.0,8029.999999999999,8130.000000000001,165180
2012-08-22,8080.0,8189.999999999999,7980.0,8130.000000000001,212800
2012-08-23,7920.0,7980.0,7760.0,7760.0,244370
2012-08-24,7760.0,7870.0,7390.0,7760.0,263110
2012-08-27,7760.0,7760.0,7390.0,7390.0,304450
2012-08-28,7390.0,7440.0,7280.0,7440.0,118670
2012-08-29,7710.0,7820.0,7440.0,7500.0,135960
2012-08-30,7660.0,7870.0,7550.0,7870.0,60820
2012-08-31,7760.0,7760.0,7500.0,7500.0,208770
2012-09-04,7760.0,7870.0,7660.0,7710.0,73830
2012-09-05,7870.0,7870.0,7600.0,7660.0,87930
2012-09-06,7600.0,7760.0,7600.0,7710.0,70640
2012-09-07,7710.0,7760.0,7660.0,7660.0,90690
2012-09-10,7760.0,7760.0,7550.0,7600.0,68830
2012-09-11,7660.0,7710.0,7600.0,7660.0,73230
2012-09-12,7710.0,7710.0,7660.0,7660.0,83310
2012-09-13,7660.0,7710.0,7600.0,7660.0,80380
2012-09-14,7870.0,7870.0,7760.0,7870.0,151910
2012-09-17,8080.0,8240.0,7980.0,7980.0,324310
2012-09-18,8189.999999999999,8240.0,7870.0,8130.000000000001,103210
2012-09-19,8080.0,8189.999999999999,8080.0,8189.999999999999,206300
2012-09-20,8240.0,8240.0,8130.000000000001,8189.999999999999,115490
2012-09-21,8240.0,8510.0,8240.0,8510.0,307720
2012-09-24,8510.0,8510.0,8290.0,8450.0,262890
2012-09-25,8510.0,8560.0,8350.0,8560.0,214740
2012-09-26,8670.0,8930.0,8610.0,8880.0,450280
2012-09-27,8990.0,9040.0,8510.0,8830.0,316390
2012-09-28,8770.0,8880.0,8560.0,8830.0,278510
2012-10-01,8720.0,8770.0,8560.0,8770.0,160560
2012-10-02,8720.0,8770.0,8670.0,8720.0,141870
2012-10-03,8720.0,8720.0,8400.0,8400.0,112160
2012-10-04,8510.0,8510.0,8400.0,8510.0,53330
2012-10-05,8510.0,8510.0,8400.0,8510.0,53850
2012-10-08,8510.0,8610.0,8510.0,8610.0,157200
2012-10-09,8510.0,8610.0,8510.0,8560.0,44400
2012-10-10,8610.0,8610.0,8450.0,8510.0,54980
2012-10-11,8400.0,8510.0,8400.0,8400.0,53630
2012-10-12,8290.0,8510.0,8290.0,8350.0,34370
2012-10-15,8240.0,8400.0,8240.0,8400.0,42970
2012-10-16,8400.0,8450.0,8290.0,8400.0,62130
2012-10-17,8400.0,8400.0,8290.0,8400.0,44560
2012-10-18,8189.999999999999,8400.0,8189.999999999999,8400.0,52280
2012-10-19,8400.0,8450.0,8290.0,8400.0,59850
2012-10-22,8400.0,8400.0,8189.999999999999,8350.0,51680
2012-10-23,8240.0,8400.0,8240.0,8290.0,48050
2012-10-24,8290.0,8290.0,8130.000000000001,8290.0,59780
2012-10-25,8189.999999999999,8350.0,8189.999999999999,8290.0,112290
2012-10-26,8240.0,8290.0,8240.0,8240.0,49720
2012-10-29,8130.000000000001,8290.0,8130.000000000001,8290.0,28610
2012-10-30,8290.0,8290.0,8189.999999999999,8290.0,43900
2012-10-31,8189.999999999999,8290.0,8189.999999999999,8290.0,46420
2012-11-01,8240.0,8290.0,8240.0,8290.0,52830
2012-11-02,8189.999999999999,8290.0,7980.0,8240.0,30990
2012-11-05,8240.0,8290.0,8240.0,8290.0,24130
2012-11-06,8130.000000000001,8290.0,8130.000000000001,8290.0,28510
2012-11-07,8290.0,8290.0,8189.999999999999,8290.0,85680
2012-11-08,8189.999999999999,8350.0,8189.999999999999,8350.0,163300
2012-11-09,8350.0,8350.0,8189.999999999999,8350.0,29400
2012-11-12,8189.999999999999,8350.0,8189.999999999999,8350.0,39430
2012-11-13,8240.0,8350.0,8240.0,8290.0,28090
2012-11-14,8189.999999999999,8350.0,8189.999999999999,8290.0,30740
2012-11-15,8189.999999999999,8290.0,8189.999999999999,8240.0,33090
2012-11-16,8189.999999999999,8240.0,8130.000000000001,8240.0,26820
2012-11-19,8130.000000000001,8240.0,8080.0,8189.999999999999,37530
2012-11-20,8189.999999999999,8189.999999999999,8029.999999999999,8189.999999999999,30340
2012-11-21,8080.0,8130.000000000001,8029.999999999999,8130.000000000001,40420
2012-11-22,8029.999999999999,8080.0,8029.999999999999,8080.0,51090
2012-11-23,8080.0,8080.0,8029.999999999999,8080.0,30240
2012-11-26,8029.999999999999,8029.999999999999,7920.0,8029.999999999999,49340
2012-11-27,7920.0,8029.999999999999,7820.0,7820.0,44800
2012-11-28,7760.0,7820.0,7440.0,7820.0,150630
2012-11-29,7760.0,7870.0,7760.0,7870.0,75950
2012-11-30,7760.0,7820.0,7660.0,7820.0,51470
2012-12-03,7820.0,7870.0,7760.0,7820.0,120380
2012-12-04,7820.0,7820.0,7710.0,7760.0,97460
2012-12-05,7760.0,7760.0,7710.0,7760.0,53690
2012-12-06,7760.0,7760.0,7710.0,7760.0,44490
2012-12-07,7760.0,7760.0,7500.0,7500.0,128930
2012-12-10,7710.0,7870.0,7710.0,7820.0,93490
2012-12-11,7820.0,8080.0,7820.0,8080.0,140130
2012-12-12,7980.0,8130.000000000001,7820.0,7920.0,83930
2012-12-13,8080.0,8080.0,7920.0,7920.0,37040
2012-12-14,7920.0,8080.0,7920.0,8080.0,59940
2012-12-17,7820.0,7920.0,7710.0,7870.0,65620
2012-12-18,7920.0,7920.0,7710.0,7760.0,71320
2012-12-19,7660.0,7980.0,7660.0,7980.0,85810
2012-12-20,7870.0,7920.0,7760.0,7760.0,119360
2012-12-21,7920.0,7920.0,7600.0,7820.0,220600
2012-12-24,7920.0,7980.0,7820.0,7870.0,115730
2012-12-25,7980.0,7980.0,7820.0,7870.0,164070
2012-12-26,7870.0,7980.0,7820.0,7980.0,129370
2012-12-27,7980.0,8189.999999999999,7920.0,8189.999999999999,143480
2012-12-28,8189.999999999999,8510.0,8130.000000000001,8510.0,70570
2013-01-02,8450.0,8720.0,8400.0,8510.0,106720
2013-01-03,8510.0,8510.0,8400.0,8510.0,118830
2013-01-04,8510.0,8560.0,8400.0,8510.0,162880
2013-01-07,8560.0,8930.0,8560.0,8880.0,370650
2013-01-08,8990.0,9040.0,8880.0,8990.0,363210
2013-01-09,8990.0,8990.0,8830.0,8830.0,81350
2013-01-10,8830.0,8830.0,8610.0,8830.0,120980
2013-01-11,8990.0,8990.0,8770.0,8880.0,171140
2013-01-14,8930.0,8930.0,8830.0,8880.0,215400
2013-01-15,9040.0,9090.0,8880.0,8880.0,160930
2013-01-16,9040.0,9090.0,8880.0,8990.0,237940
2013-01-17,9040.0,9090.0,8990.0,9040.0,137110
2013-01-18,9040.0,9090.0,8990.0,9040.0,205380
2013-01-21,8990.0,9090.0,8930.0,8930.0,133100
2013-01-22,9400.0,9400.0,9050.0,9120.0,200700
2013-01-23,9190.0,9330.0,9120.0,9190.0,305690
2013-01-24,9190.0,9260.0,9120.0,9190.0,248840
2013-01-25,9190.0,9330.0,9190.0,9260.0,352190
2013-01-28,9470.0,9540.0,9400.0,9400.0,331350
2013-01-29,9400.0,9470.0,9330.0,9400.0,312550
2013-01-30,9400.0,9470.0,9330.0,9400.0,596680
2013-01-31,9260.0,9400.0,9260.0,9330.0,131930
2013-02-01,9330.0,9400.0,9260.0,9400.0,188520
2013-02-04,9400.0,9470.0,9400.0,9400.0,244350
2013-02-05,9400.0,9540.0,9400.0,9400.0,741040
2013-02-06,9540.0,9540.0,9400.0,9470.0,175610
2013-02-07,9540.0,9540.0,9400.0,9470.0,104460
2013-02-08,9400.0,9540.0,9260.0,9470.0,96950
2013-02-18,9470.0,9470.0,9260.0,9260.0,117770
2013-02-19,9540.0,9540.0,9330.0,9400.0,463190
2013-02-20,9470.0,9470.0,9330.0,9400.0,145770
2013-02-21,9330.0,9400.0,9120.0,9120.0,91840
2013-02-22,9120.0,9260.0,8910.0,8980.0,109240
2013-02-25,9120.0,9120.0,8980.0,9120.0,60860
2013-02-26,9050.0,9050.0,8630.0,8770.0,145630
2013-02-27,8770.0,8910.0,8700.0,8910.0,115050
2013-02-28,8910.0,9470.0,8910.0,9400.0,551700
2013-03-01,9540.0,9540.0,9260.0,9260.0,132410
2013-03-04,9470.0,9830.0,9330.0,9540.0,379190
2013-03-05,9470.0,9470.0,9260.0,9260.0,201440
2013-03-06,9540.0,9540.0,9190.0,9260.0,94290
2013-03-07,9260.0,9260.0,9050.0,9050.0,283370
2013-03-08,9120.0,9190.0,9050.0,9120.0,73590
2013-03-11,9120.0,9260.0,9050.0,9260.0,74730
2013-03-12,9120.0,9190.0,8910.0,8910.0,169070
2013-03-13,9050.0,9120.0,8840.0,8910.0,144800
2013-03-14,8910.0,8980.0,8840.0,8980.0,75210
2013-03-15,9050.0,9190.0,8980.0,9190.0,415500
2013-03-18,9190.0,9260.0,9050.0,9050.0,102710
2013-03-19,8980.0,9190.0,8980.0,9050.0,58810
2013-03-20,8980.0,9120.0,8980.0,9120.0,61650
2013-03-21,9120.0,9260.0,9120.0,9190.0,94400
2013-03-22,9190.0,9470.0,9120.0,9120.0,210740
2013-03-25,9120.0,9400.0,9120.0,9330.0,286920
2013-03-26,9400.0,9470.0,9260.0,9260.0,154130
2013-03-27,9260.0,9260.0,9050.0,9050.0,114830
