Date,Open,High,Low,Close,Volume
2012-01-06,4580.0,4580.0,4460.0,4490.0,298140
2012-01-09,4490.0,4650.0,4490.0,4620.0,367990
2012-01-10,4580.0,4690.0,4580.0,4670.0,419840
2012-01-11,4760.0,4780.0,4670.0,4670.0,583520
2012-01-12,4690.0,4850.0,4690.0,4760.0,722700
2012-01-13,4760.0,4830.0,4760.0,4780.0,473910
2012-01-16,4830.0,4990.0,4800.0,4870.0,515750
2012-01-17,4890.0,4920.0,4850.0,4850.0,439490
2012-01-18,4870.0,4920.0,4850.0,4920.0,206100
2012-01-19,4920.0,5140.0,4920.0,5140.0,485130
2012-01-20,5210.0,5280.0,5140.0,5230.0,682000
2012-01-30,5210.0,5480.0,5210.0,5480.0,803590
2012-01-31,5600.0,5670.0,5510.0,5530.0,789540
2012-02-01,5530.0,5530.0,5300.0,5390.0,937600
2012-02-02,5550.0,5640.0,5480.0,5640.0,824600
2012-02-03,5670.0,5890.0,5550.0,5550.0,623560
2012-02-06,5550.0,5550.0,5460.0,5510.0,404650
2012-02-07,5550.0,5620.0,5440.0,5550.0,502100
2012-02-08,5550.0,5780.0,5550.0,5780.0,801310
2012-02-09,5760.0,5890.0,5690.0,5710.0,410610
2012-02-10,5670.0,5710.0,5570.0,5570.0,924610
2012-02-13,5460.0,5670.0,5440.0,5480.0,673710
2012-02-14,5480.0,5710.0,5480.0,5710.0,445320
2012-02-15,5760.0,5800.0,5670.0,5670.0,529300
2012-02-16,5570.0,5760.0,5570.0,5670.0,465620
2012-02-17,5710.0,5820.0,5710.0,5780.0,517780
2012-02-20,5870.0,6050.0,5870.0,6050.0,634580
2012-02-21,6320.0,6320.0,6070.0,6100.0,905480
2012-02-22,6190.0,6370.0,6120.0,6370.0,1040520
2012-02-23,6350.0,6460.0,6280.0,6460.0,1053020
2012-02-24,6620.0,6770.0,6510.0,6650.0,793320
2012-02-27,6620.0,6720.0,6550.0,6700.0,662410
2012-02-28,6650.0,6650.0,6510.0,6510.0,1190840
2012-02-29,6410.0,6550.0,6390.0,6430.0,877660
2012-03-01,6430.0,6720.0,6410.0,6720.0,921140
2012-03-02,6720.0,6960.0,6720.0,6860.0,756280
2012-03-05,6980.0,7190.0,6980.0,7190.0,1627870
2012-03-06,7500.0,7500.0,6840.0,6840.0,1170940
2012-03-07,6740.0,6840.0,6620.0,6840.0,1003090
2012-03-08,6670.0,6860.0,6510.0,6510.0,1009420
2012-03-09,6510.0,6620.0,6360.0,6600.0,968870
2012-03-12,6460.0,6510.0,6340.0,6340.0,532070
2012-03-13,6480.0,6480.0,6360.0,6460.0,366290
2012-03-14,6580.0,6580.0,6460.0,6550.0,729850
2012-03-15,6580.0,6720.0,6460.0,6700.0,851080
2012-03-16,6740.0,6740.0,6390.0,6390.0,1169140
2012-03-19,6460.0,6700.0,6460.0,6700.0,1289700
2012-03-20,6720.0,7030.0,6720.0,7030.0,1819480
2012-03-21,7030.0,7220.0,7030.0,7050.0,1083450
2012-03-22,7050.0,7220.0,7030.0,7100.0,1412870
2012-03-23,7100.0,7170.0,7000.0,7000.0,1025350
2012-03-26,7000.0,7050.0,6930.0,6980.0,755570
2012-03-27,6980.0,6980.0,6740.0,6740.0,652340
2012-03-28,6740.0,6860.0,6650.0,6860.0,716070
2012-03-29,6960.0,7030.0,6790.0,6790.0,577290
2012-03-30,6840.0,6860.0,6740.0,6860.0,612500
2012-04-03,6810.0,6960.0,6810.0,6880.0,320890
2012-04-04,6930.0,6960.0,6840.0,6840.0,324620
2012-04-05,6810.0,6880.0,6810.0,6840.0,231220
2012-04-06,6840.0,6910.0,6810.0,6810.0,259430
2012-04-09,6860.0,6860.0,6770.0,6810.0,458350
2012-04-10,6810.0,6960.0,6810.0,6910.0,515200
2012-04-11,6930.0,7000.0,6880.0,7000.0,785390
2012-04-12,7070.0,7330.0,7050.0,7290.0,1502870
2012-04-13,7310.0,7430.0,7220.0,7380.0,904860
